side,row,col,board_no,socket,label,shift
back,2,31,80,57,080-57,0.5
back,1,32,80,58,080-58,0.5
back,0,31,80,59,080-59,0.5
back,0,32,80,60,080-60,0.5
back,2,29,81,1,081-01,0.5
back,1,29,81,2,081-02,0.5
back,2,28,81,3,081-03,0.5
back,1,28,81,4,081-04,0.5
back,0,27,81,5,081-05,0.5
back,0,25,81,6,081-06,0.5
back,2,27,81,7,081-07,0.5
back,1,25,81,8,081-08,0.5
back,0,23,81,9,081-09,0.5
back,3,27,81,10,081-10,0.5
back,3,28,81,11,081-11,0.5
back,3,26,81,12,081-12,0.5
back,4,27,81,13,081-13,0.5
back,4,26,81,14,081-14,0.5
back,4,28,81,15,081-15,0.5
back,5,27,81,16,081-16,0.5
back,3,24,81,17,081-17,0.5
back,5,26,81,18,081-18,0.5
back,4,24,81,19,081-19,0.5
back,5,25,81,20,081-20,0.5
back,5,24,81,21,081-21,0.5
back,7,26,81,22,081-22,0.5
back,8,27,81,30,081-30,0.5
back,11,27,81,32,081-32,0.5
back,10,27,81,33,081-33,0.5
back,11,28,81,34,081-34,0.5
back,12,28,81,35,081-35,0.5
back,11,29,81,36,081-36,0.5
back,9,30,81,37,081-37,0.5
back,8,29,81,38,081-38,0.5
back,7,30,81,41,081-41,0.5
back,6,32,81,42,081-42,0.5
back,6,28,81,43,081-43,0.5
back,5,33,81,44,081-44,0.5
back,5,32,81,45,081-45,0.5
back,4,33,81,46,081-46,0.5
back,4,32,81,47,081-47,0.5
back,3,34,81,48,081-48,0.5
back,4,31,81,49,081-49,0.5
back,3,29,81,50,081-50,0.5
back,3,32,81,51,081-51,0.5
back,2,33,81,52,081-52,0.5
back,3,30,81,53,081-53,0.5
back,2,32,81,54,081-54,0.5
back,1,34,81,55,081-55,0.5
back,2,30,81,56,081-56,0.5
back,0,35,81,57,081-57,0.5
back,0,34,81,58,081-58,0.5
back,1,31,81,59,081-59,0.5
back,0,33,81,60,081-60,0.5
back,1,21,82,1,082-01,0.5
back,3,21,82,2,082-02,0.5
back,1,20,82,3,082-03,0.5
back,0,19,82,4,082-04,0.5
back,1,19,82,5,082-05,0.5
back,3,20,82,6,082-06,0.5
back,4,19,82,7,082-07,0.5
back,5,20,82,8,082-08,0.5
back,6,20,82,9,082-09,0.5
back,6,21,82,10,082-10,0.5
back,7,20,82,11,082-11,0.5
back,7,19,82,12,082-12,0.5
back,8,19,82,13,082-13,0.5
back,9,20,82,14,082-14,0.5
back,10,20,82,15,082-15,0.5
back,10,19,82,16,082-16,0.5
back,11,20,82,17,082-17,0.5
back,11,21,82,18,082-18,0.5
back,12,20,82,19,082-19,0.5
back,12,21,82,20,082-20,0.5
back,13,21,82,21,082-21,0.5
back,14,19,82,22,082-22,0.5
back,15,19,82,23,082-23,0.5
back,16,20,82,24,082-24,0.5
back,18,19,82,25,082-25,0.5
back,18,20,82,26,082-26,0.5
back,18,21,82,27,082-27,0.5
back,15,21,82,28,082-28,0.5
back,18,22,82,29,082-29,0.5
back,13,22,82,30,082-30,0.5
back,17,22,82,31,082-31,0.5
back,14,23,82,32,082-32,0.5
back,17,23,82,33,082-33,0.5
back,15,23,82,34,082-34,0.5
back,16,24,82,35,082-35,0.5
back,14,27,82,36,082-36,0.5
back,14,25,82,37,082-37,0.5
back,13,24,82,38,082-38,0.5
back,13,26,82,39,082-39,0.5
back,13,23,82,40,082-40,0.5
back,12,25,82,41,082-41,0.5
back,12,26,82,42,082-42,0.5
back,11,25,82,43,082-43,0.5
back,12,22,82,44,082-44,0.5
back,11,23,82,45,082-45,0.5
back,10,23,82,46,082-46,0.5
back,10,22,82,47,082-47,0.5
back,9,24,82,49,082-49,0.5
back,9,23,82,50,082-50,0.5
back,8,23,82,52,082-52,0.5
back,7,22,82,53,082-53,0.5
back,6,22,82,54,082-54,0.5
back,6,23,82,55,082-55,0.5
back,6,24,82,56,082-56,0.5
back,4,22,82,57,082-57,0.5
back,4,23,82,58,082-58,0.5
back,3,23,82,59,082-59,0.5
back,0,21,82,60,082-60,0.5
back,2,21,83,1,083-01,0.5
back,4,21,83,2,083-02,0.5
back,0,20,83,3,083-03,0.5
back,2,20,83,4,083-04,0.5
back,2,19,83,5,083-05,0.5
back,3,19,83,6,083-06,0.5
back,4,20,83,7,083-07,0.5
back,5,21,83,8,083-08,0.5
back,5,19,83,9,083-09,0.5
