side,row,col,board_no,socket,label,shift
front,8,18,5,35,005-35,0
front,6,16,5,36,005-36,0
front,6,17,5,37,005-37,0
front,6,18,5,38,005-38,0
front,7,19,5,39,005-39,0.5
front,5,18,5,40,005-40,0
front,3,16,5,41,005-41,0
front,4,17,5,42,005-42,0.5
front,5,19,5,43,005-43,0
front,3,17,5,44,005-44,0
front,5,21,5,45,005-45,0
front,3,18,5,46,005-46,0
front,5,20,5,47,005-47,0
front,4,21,5,48,005-48,0.5
front,3,23,5,49,005-49,0
front,1,17,5,50,005-50,0
front,2,18,5,51,005-51,0.5
front,1,18,5,52,005-52,0
front,0,16,5,53,005-53,0.5
front,3,21,5,54,005-54,0
front,1,19,5,55,005-55,0
front,2,20,5,56,005-56,0.5
front,1,20,5,57,005-57,0
front,0,19,5,58,005-58,0.5
front,0,20,5,59,005-59,0.5
front,0,21,5,60,005-60,0.5
front,0,23,6,1,006-01,0.5
front,2,23,6,2,006-02,0.5
front,0,24,6,3,006-03,0.5
front,1,25,6,4,006-04,0
front,1,26,6,5,006-05,0
front,0,28,6,6,006-06,0.5
front,1,27,6,7,006-07,0
front,2,25,6,8,006-08,0.5
front,3,24,6,9,006-09,0
front,2,26,6,10,006-10,0.5
front,3,25,6,11,006-11,0
front,2,27,6,12,006-12,0.5
front,3,26,6,13,006-13,0
front,4,24,6,14,006-14,0.5
front,5,23,6,15,006-15,0
front,3,28,6,16,006-16,0
front,3,29,6,17,006-17,0
front,5,25,6,18,006-18,0
front,4,27,6,19,006-19,0.5
front,5,26,6,20,006-20,0
front,5,27,6,21,006-21,0
front,6,26,6,22,006-22,0
front,7,24,6,23,006-23,0.5
front,7,25,6,24,006-24,0.5
front,7,27,6,25,006-25,0.5
front,8,26,6,26,006-26,0
front,8,24,6,27,006-27,0
front,9,22,6,28,006-28,0.5
front,7,23,6,29,006-29,0.5
front,8,22,6,30,006-30,0
front,6,23,6,31,006-31,0
front,9,20,6,32,006-32,0.5
front,7,21,6,33,006-33,0.5
front,9,19,6,34,006-34,0.5
front,8,19,6,35,006-35,0
front,7,17,6,36,006-36,0.5
front,7,18,6,37,006-37,0.5
front,5,17,6,38,006-38,0
front,6,19,6,39,006-39,0
front,4,16,6,40,006-40,0.5
front,6,21,6,41,006-41,0
front,6,20,6,42,006-42,0
front,5,22,6,43,006-43,0
front,4,18,6,44,006-44,0.5
front,4,22,6,45,006-45,0.5
front,2,16,6,46,006-46,0.5
front,4,19,6,47,006-47,0.5
front,2,17,6,48,006-48,0.5
front,3,19,6,49,006-49,0
front,4,20,6,50,006-50,0.5
front,3,22,6,51,006-51,0
front,3,20,6,52,006-52,0
front,2,19,6,53,006-53,0.5
front,2,22,6,54,006-54,0.5
front,0,17,6,55,006-55,0.5
front,2,21,6,56,006-56,0.5
front,0,18,6,57,006-57,0.5
front,1,22,6,58,006-58,0
front,1,21,6,59,006-59,0
front,0,22,6,60,006-60,0.5
front,0,7,7,1,007-01,0.5
front,0,8,7,2,007-02,0.5
front,2,10,7,3,007-03,0.5
front,0,10,7,4,007-04,0.5
front,0,11,7,5,007-05,0.5
front,1,12,7,6,007-06,0
front,0,13,7,7,007-07,0.5
front,1,13,7,8,007-08,0
front,2,12,7,9,007-09,0.5
front,1,14,7,10,007-10,0
front,3,10,7,11,007-11,0
front,2,13,7,12,007-12,0.5
front,4,11,7,13,007-13,0.5
front,2,14,7,14,007-14,0.5
front,4,10,7,15,007-15,0.5
front,3,14,7,16,007-16,0
front,2,15,7,17,007-17,0.5
front,5,11,7,18,007-18,0
front,5,13,7,19,007-19,0
front,4,14,7,20,007-20,0.5
front,5,14,7,21,007-21,0
front,6,13,7,22,007-22,0
front,5,15,7,23,007-23,0
front,6,14,7,24,007-24,0
front,7,14,7,25,007-25,0.5
front,8,13,7,26,007-26,0
front,8,12,7,27,007-27,0
front,5,10,7,28,007-28,0
front,8,11,7,29,007-29,0
front,7,10,7,30,007-30,0.5
front,7,9,7,31,007-31,0.5
front,9,10,7,32,007-32,0.5
front,7,8,7,33,007-33,0.5
front,8,8,7,34,007-34,0
front,8,7,7,35,007-35,0
front,8,5,7,36,007-36,0
front,7,5,7,37,007-37,0.5
front,7,6,7,38,007-38,0.5
front,7,7,7,39,007-39,0.5
front,5,4,7,40,007-40,0
front,6,7,7,41,007-41,0
front,4,3,7,42,007-42,0.5
front,4,4,7,43,007-43,0.5
front,4,5,7,44,007-44,0.5
front,5,8,7,45,007-45,0
front,3,4,7,46,007-46,0
front,3,5,7,47,007-47,0
front,4,7,7,48,007-48,0.5
front,2,3,7,49,007-49,0.5
front,2,4,7,50,007-50,0.5
front,3,7,7,51,007-51,0
front,2,5,7,52,007-52,0.5
front,1,3,7,53,007-53,0
front,2,6,7,54,007-54,0.5
front,2,8,7,55,007-55,0.5
front,0,2,7,56,007-56,0.5
front,0,3,7,57,007-57,0.5
front,0,4,7,58,007-58,0.5
front,1,7,7,59,007-59,0
front,0,6,7,60,007-60,0.5
front,2,9,8,1,008-01,0.5
front,1,9,8,2,008-02,0
front,1,10,8,3,008-03,0
front,0,9,8,4,008-04,0.5
front,1,11,8,5,008-05,0
front,0,12,8,6,008-06,0.5
front,2,11,8,7,008-07,0.5
front,0,14,8,8,008-08,0.5
front,3,11,8,9,008-09,0
front,0,15,8,10,008-10,0.5
front,3,12,8,11,008-11,0
front,1,15,8,12,008-12,0
front,3,13,8,13,008-13,0
front,1,16,8,14,008-14,0
front,4,12,8,15,008-15,0.5
front,5,12,8,16,008-16,0
front,4,9,8,17,008-17,0.5
front,4,13,8,18,008-18,0.5
front,3,15,8,19,008-19,0
front,6,12,8,20,008-20,0
front,6,11,8,21,008-21,0
front,4,15,8,22,008-22,0.5
front,7,12,8,23,008-23,0.5
front,5,16,8,24,008-24,0
front,6,15,8,25,008-25,0
front,7,13,8,26,008-26,0.5
front,9,12,8,27,008-27,0.5
front,7,11,8,28,008-28,0.5
front,9,11,8,29,008-29,0.5
front,6,10,8,30,008-30,0
front,6,9,8,31,008-31,0
front,8,10,8,32,008-32,0
front,8,9,8,33,008-33,0
front,9,9,8,34,008-34,0.5
front,9,8,8,35,008-35,0.5
front,8,6,8,36,008-36,0
front,7,4,8,37,008-37,0.5
front,6,4,8,38,008-38,0
front,6,5,8,39,008-39,0
front,6,6,8,40,008-40,0
front,5,5,8,41,008-41,0
front,5,6,8,42,008-42,0
front,6,8,8,43,008-43,0
front,5,7,8,44,008-44,0
front,3,3,8,45,008-45,0
front,4,6,8,46,008-46,0.5
front,5,9,8,47,008-47,0
front,2,2,8,48,008-48,0.5
front,3,6,8,49,008-49,0
front,4,8,8,50,008-50,0.5
front,1,2,8,51,008-51,0
front,3,9,8,52,008-52,0
front,3,8,8,53,008-53,0
front,1,4,8,54,008-54,0
front,0,1,8,55,008-55,0.5
front,1,5,8,56,008-56,0
front,2,7,8,57,008-57,0.5
front,1,6,8,58,008-58,0
front,1,8,8,59,008-59,0
front,0,5,8,60,008-60,0.5
back,11,11,9,1,009-01,0.5
back,12,11,9,2,009-02,0.5
back,10,10,9,3,009-03,0
back,9,7,9,4,009-04,0.5
back,10,8,9,5,009-05,0
